URL,Size_KB,Status Code,Indexability_Num,Crawl Depth,Folder Depth,Inlinks,Unique Inlinks,Outlinks,Response Time,Word Count,FCP,CLS,LCP Score,TBT_Milliseconds,Speed Index,Performance_Score,SEO_Health_Score,SEO Status,Performance Flag,Heavy Page Flag,Performance Category,Indexability Clean,LCP Category,Slow Page Flag,SEO Issue Status
https://wooferzz.com/,141.67,200,1,0,0,185,46,39,0.3,454,1.6,0.0,2,0,3.6,93,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/blogs/news,67.21,200,1,0,1,94,46,27,0.18,137,1.5,0.0,2,0,2.5,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/blogs/news/wooferzz-healthy-treats-for-dogs-hope-for-strays,76.13,200,1,0,2,3,2,26,0.24,443,1.5,0.0,2,2,2.4,92,90,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/collections/biscuits,187.92,200,1,0,1,102,46,64,0.42,569,1.6,0.0,2,4,3.4,96,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/collections/bowl,187.74,200,1,0,1,102,46,58,0.3,454,1.1,0.0,2,100,2.2,98,90,Good,Fast (?3s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/collections/munchies,117.49,200,1,0,1,102,46,42,0.3,256,1.5,0.0,2,6,2.6,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/pages/contact-us,65.57,200,1,0,1,93,46,25,0.18,175,1.5,0.0,2,8,2.2,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/pages/our-story,79.05,200,1,0,1,93,46,25,0.5,426,1.1,0.0,2,40,1.8,98,90,Good,Fast (?3s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/pages/subscription,76.22,200,1,0,1,93,46,25,0.18,237,1.5,0.0,2,4,3.1,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/buy-4-get-1-free-1,119.81,200,1,0,1,50,46,38,0.24,556,1.2,0.0,1,8,1.6,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/buy-4-get-1-free-400grams,151.0,200,1,0,1,4,1,38,0.18,557,1.3,0.0,2,4,2.0,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/buy-4-get-1-free-700grams,151.03,200,1,0,1,50,46,38,0.3,557,2.0,0.0,2,20,3.4,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/calcium-sticks,124.82,200,1,0,1,80,38,38,0.24,370,2.0,0.0,3,14,3.4,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/chicken-munchies-1,130.87,200,1,0,1,80,38,38,0.24,380,1.9,0.0,3,4,3.7,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/mint-munchies-1,133.31,200,1,0,1,80,38,38,0.36,393,2.0,0.0,3,4,3.7,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/mutton-munchies-1,130.61,200,1,0,1,80,38,38,0.3,397,1.9,0.0,2,2,3.5,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-chicken-biscuits,159.98,200,1,0,1,6,2,38,0.24,486,2.0,0.0,3,12,3.5,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-chicken-biscuts,134.15,200,1,0,1,6,2,38,0.3,451,2.0,0.0,3,18,3.4,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-chicken-biscuts-700gm,134.06,200,1,0,1,6,2,38,0.24,451,1.2,0.0,1,0,1.8,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-egg-biscuits,133.63,200,1,0,1,6,2,38,0.36,388,2.0,0.0,2,38,3.4,89,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-egg-biscuits-1,159.35,200,1,0,1,6,2,38,0.3,423,2.0,0.0,3,16,3.5,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-egg-biscuits-700gm,133.54,200,1,0,1,6,2,38,0.24,388,1.9,0.0,2,2,2.9,95,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-milk-biscuits,133.82,200,1,0,1,6,2,38,0.3,417,1.9,0.0,3,28,3.6,90,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-milk-biscuits-1,159.73,200,1,0,1,6,2,38,0.18,452,1.2,0.0,2,4,1.7,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-milk-biscuits-250-mg,129.33,200,1,0,1,6,2,38,0.24,411,1.5,0.0,2,16,1.7,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-milk-biscuits-700gm,133.73,200,1,0,1,6,2,38,0.24,417,2.0,0.0,3,18,3.7,90,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-spinach-bicuits,134.57,200,1,0,1,6,2,38,0.42,411,1.2,0.0,2,0,1.8,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-spinach-bicuits-700gm,133.76,200,1,0,1,6,2,38,0.36,411,2.0,0.0,3,10,3.7,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperz-spinach-biscuits,158.13,200,1,0,1,6,2,38,0.3,442,1.2,0.0,1,4,1.8,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperzz-chicken-biscuits,135.01,200,1,0,1,6,2,38,0.3,451,1.9,0.0,2,2,2.7,96,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperzz-egg-biscuits-250g,134.49,200,1,0,1,6,2,38,0.3,394,1.9,0.0,2,2,3.4,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/pawperzz-spinach-biscuits,133.14,200,1,0,1,6,2,38,0.42,411,1.9,0.0,2,16,3.5,91,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/premium-bowls,125.94,200,1,0,1,6,2,38,0.36,315,1.9,0.0,2,4,2.6,97,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/premium-bowls-1,124.35,200,1,0,1,6,2,38,0.54,315,1.9,0.0,2,4,2.9,95,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/premium-bowls-2,124.35,200,1,0,1,6,2,38,0.36,315,1.9,0.0,2,2,2.7,95,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/premium-bowls-3,124.35,200,1,0,1,6,2,38,0.24,315,2.0,0.0,2,4,3.5,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
https://wooferzz.com/products/premium-bowls-4,129.41,200,1,0,1,6,2,38,0.36,321,1.9,0.0,2,18,3.5,92,95,Good,Fast (<2s),Light Page,Good,1,Good,Good,Good
